Division/SIC,Description,Link
A,Agriculture, Forestry, And Fishing,http://www.osha.gov/pls/imis/sic_manual.display?id=1&tab=division
01,Agricultural Production Crops,http://www.osha.gov/pls/imis/sic_manual.display?id=1&tab=group
011,Cash Grains,
0111,Wheat,http://www.osha.gov/pls/imis/sic_manual.display?id=310&tab=description
0112,Rice,http://www.osha.gov/pls/imis/sic_manual.display?id=311&tab=description
0115,Corn,http://www.osha.gov/pls/imis/sic_manual.display?id=312&tab=description
0116,Soybeans,http://www.osha.gov/pls/imis/sic_manual.display?id=313&tab=description
0119,Cash Grains, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=314&tab=description
013,Field Crops, Except Cash Grains,
0131,Cotton,http://www.osha.gov/pls/imis/sic_manual.display?id=315&tab=description
0132,Tobacco,http://www.osha.gov/pls/imis/sic_manual.display?id=316&tab=description
0133,Sugarcane and Sugar Beets,http://www.osha.gov/pls/imis/sic_manual.display?id=317&tab=description
0134,Irish Potatoes,http://www.osha.gov/pls/imis/sic_manual.display?id=318&tab=description
0139,Field Crops, Except Cash Grains, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=319&tab=description
016,Vegetables And Melons,
0161,Vegetables and Melons,http://www.osha.gov/pls/imis/sic_manual.display?id=320&tab=description
017,Fruits And Tree Nuts,
0171,Berry Crops,http://www.osha.gov/pls/imis/sic_manual.display?id=321&tab=description
0172,Grapes,http://www.osha.gov/pls/imis/sic_manual.display?id=322&tab=description
0173,Tree Nuts,http://www.osha.gov/pls/imis/sic_manual.display?id=323&tab=description
0174,Citrus Fruits,http://www.osha.gov/pls/imis/sic_manual.display?id=324&tab=description
0175,Deciduous Tree Fruits,http://www.osha.gov/pls/imis/sic_manual.display?id=325&tab=description
0179,Fruits and Tree Nuts, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=326&tab=description
018,Horticultural Specialties,
0181,Ornamental Floriculture and Nursery Products,http://www.osha.gov/pls/imis/sic_manual.display?id=327&tab=description
0182,Food Crops Grown Under Cover,http://www.osha.gov/pls/imis/sic_manual.display?id=328&tab=description
019,General Farms, Primarily Crop,
0191,General Farms, Primarily Crop,http://www.osha.gov/pls/imis/sic_manual.display?id=329&tab=description
02,Agriculture production livestock and animal specialties,http://www.osha.gov/pls/imis/sic_manual.display?id=2&tab=group
021,Livestock, Except Dairy And Poultry,
0211,Beef Cattle Feedlots,http://www.osha.gov/pls/imis/sic_manual.display?id=330&tab=description
0212,Beef Cattle, Except Feedlots,http://www.osha.gov/pls/imis/sic_manual.display?id=331&tab=description
0213,Hogs,http://www.osha.gov/pls/imis/sic_manual.display?id=332&tab=description
0214,Sheep and Goats,http://www.osha.gov/pls/imis/sic_manual.display?id=333&tab=description
0219,General Livestock, Except Dairy and Poultry,http://www.osha.gov/pls/imis/sic_manual.display?id=334&tab=description
024,Dairy Farms,
0241,Dairy Farms,http://www.osha.gov/pls/imis/sic_manual.display?id=335&tab=description
025,Poultry And Eggs,
0251,Broiler, Fryer, and Roaster Chickens,http://www.osha.gov/pls/imis/sic_manual.display?id=336&tab=description
0252,Chicken Eggs,http://www.osha.gov/pls/imis/sic_manual.display?id=337&tab=description
0253,Turkeys and Turkey Eggs,http://www.osha.gov/pls/imis/sic_manual.display?id=338&tab=description
0254,Poultry Hatcheries,http://www.osha.gov/pls/imis/sic_manual.display?id=339&tab=description
0259,Poultry and Eggs, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=1001&tab=description
027,Animal Specialties,
0271,Fur-Bearing Animals and Rabbits,http://www.osha.gov/pls/imis/sic_manual.display?id=347&tab=description
0272,Horses and Other Equines,http://www.osha.gov/pls/imis/sic_manual.display?id=348&tab=description
0273,Animal Aquaculture,http://www.osha.gov/pls/imis/sic_manual.display?id=349&tab=description
0279,Animal Specialties, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=350&tab=description
029,General Farms, Primarily Livestock And Animal,
0291,General Farms, Primarily Livestock and Animal Specialties,http://www.osha.gov/pls/imis/sic_manual.display?id=351&tab=description
07,Agricultural Services,http://www.osha.gov/pls/imis/sic_manual.display?id=3&tab=group
071,Soil Preparation Services,
0711,Soil Preparation Services,http://www.osha.gov/pls/imis/sic_manual.display?id=352&tab=description
072,Crop Services,
0721,Crop Planting, Cultivating, and Protecting,http://www.osha.gov/pls/imis/sic_manual.display?id=353&tab=description
0722,Crop Harvesting, Primarily by Machine,http://www.osha.gov/pls/imis/sic_manual.display?id=354&tab=description
0723,Crop Preparation Services for Market, Except Cotton Ginning,http://www.osha.gov/pls/imis/sic_manual.display?id=355&tab=description
0724,Cotton Ginning,http://www.osha.gov/pls/imis/sic_manual.display?id=356&tab=description
074,Veterinary Services,
0741,Veterinary Services for Livestock,http://www.osha.gov/pls/imis/sic_manual.display?id=357&tab=description
0742,Veterinary Services for Animal Specialties,http://www.osha.gov/pls/imis/sic_manual.display?id=358&tab=description
075,Animal Services, Except Veterinary,
0751,Livestock Services, Except Veterinary,http://www.osha.gov/pls/imis/sic_manual.display?id=359&tab=description
0752,Animal Specialty Services, Except Veterinary,http://www.osha.gov/pls/imis/sic_manual.display?id=360&tab=description
076,Farm Labor And Management Services,
0761,Farm Labor Contractors and Crew Leaders,http://www.osha.gov/pls/imis/sic_manual.display?id=361&tab=description
0762,Farm Management Services,http://www.osha.gov/pls/imis/sic_manual.display?id=362&tab=description
078,Landscape And Horticultural Services,
0781,Landscape Counseling and Planning,http://www.osha.gov/pls/imis/sic_manual.display?id=363&tab=description
0782,Lawn and Garden Services,http://www.osha.gov/pls/imis/sic_manual.display?id=364&tab=description
0783,Ornamental Shrub and Tree Services,http://www.osha.gov/pls/imis/sic_manual.display?id=365&tab=description
08,Forestry,http://www.osha.gov/pls/imis/sic_manual.display?id=4&tab=group
081,Timber Tracts,
0811,Timber Tracts,http://www.osha.gov/pls/imis/sic_manual.display?id=366&tab=description
083,Forest Nurseries And Gathering Of Forest,
0831,Forest Nurseries and Gathering of Forest Products,http://www.osha.gov/pls/imis/sic_manual.display?id=367&tab=description
085,Forestry Services,
0851,Forestry Services,http://www.osha.gov/pls/imis/sic_manual.display?id=368&tab=description
09,Fishing, hunting, and trapping,http://www.osha.gov/pls/imis/sic_manual.display?id=5&tab=group
091,Commercial Fishing,
0912,Finfish,http://www.osha.gov/pls/imis/sic_manual.display?id=369&tab=description
0913,Shellfish,http://www.osha.gov/pls/imis/sic_manual.display?id=370&tab=description
0919,Miscellaneous Marine Products,http://www.osha.gov/pls/imis/sic_manual.display?id=371&tab=description
092,Fish Hatcheries And Preserves,
0921,Fish Hatcheries and Preserves,http://www.osha.gov/pls/imis/sic_manual.display?id=372&tab=description
097,Hunting And Trapping, And Game Propagation,
0971,Hunting and Trapping, and Game Propagation,http://www.osha.gov/pls/imis/sic_manual.display?id=373&tab=description
B,Mining,http://www.osha.gov/pls/imis/sic_manual.display?id=2&tab=division
10,Metal Mining,http://www.osha.gov/pls/imis/sic_manual.display?id=6&tab=group
101,Iron Ores,
1011,Iron Ores,http://www.osha.gov/pls/imis/sic_manual.display?id=374&tab=description
102,Copper Ores,
1021,Copper Ores,http://www.osha.gov/pls/imis/sic_manual.display?id=375&tab=description
103,Lead And Zinc Ores,
1031,Lead and Zinc Ores,http://www.osha.gov/pls/imis/sic_manual.display?id=376&tab=description
104,Gold And Silver Ores,
1041,Gold Ores,http://www.osha.gov/pls/imis/sic_manual.display?id=377&tab=description
1044,Silver Ores,http://www.osha.gov/pls/imis/sic_manual.display?id=378&tab=description
106,Ferroalloy Ores, Except Vanadium,
1061,Ferroalloy Ores, Except Vanadium,http://www.osha.gov/pls/imis/sic_manual.display?id=379&tab=description
108,Metal Mining Services,
1081,Metal Mining Services,http://www.osha.gov/pls/imis/sic_manual.display?id=380&tab=description
109,Miscellaneous Metal Ores,
1094,Uranium-Radium-Vanadium Ores,http://www.osha.gov/pls/imis/sic_manual.display?id=381&tab=description
1099,Miscellaneous Metal Ores, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=382&tab=description
12,Coal Mining,http://www.osha.gov/pls/imis/sic_manual.display?id=7&tab=group
122,Bituminous Coal And Lignite Mining,
1221,Bituminous Coal and Lignite Surface Mining,http://www.osha.gov/pls/imis/sic_manual.display?id=383&tab=description
1222,Bituminous Coal Underground Mining,http://www.osha.gov/pls/imis/sic_manual.display?id=384&tab=description
123,Anthracite Mining,
1231,Anthracite Mining,http://www.osha.gov/pls/imis/sic_manual.display?id=385&tab=description
124,Coal Mining Services,
1241,Coal Mining Services,http://www.osha.gov/pls/imis/sic_manual.display?id=386&tab=description
13,Oil And Gas Extraction,http://www.osha.gov/pls/imis/sic_manual.display?id=8&tab=group
131,Crude Petroleum And Natural Gas,
1311,Crude Petroleum and Natural Gas,http://www.osha.gov/pls/imis/sic_manual.display?id=387&tab=description
132,Natural Gas Liquids,
1321,Natural Gas Liquids,http://www.osha.gov/pls/imis/sic_manual.display?id=388&tab=description
138,Oil And Gas Field Services,
1381,Drilling Oil and Gas Wells,http://www.osha.gov/pls/imis/sic_manual.display?id=389&tab=description
1382,Oil and Gas Field Exploration Services,http://www.osha.gov/pls/imis/sic_manual.display?id=390&tab=description
1389,Oil and Gas Field Services, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=391&tab=description
14,Mining And Quarrying Of Nonmetallic Minerals, Except Fuels,http://www.osha.gov/pls/imis/sic_manual.display?id=9&tab=group
141,Dimension Stone,
1411,Dimension Stone,http://www.osha.gov/pls/imis/sic_manual.display?id=392&tab=description
142,Crushed And Broken Stone, Including Riprap,
1422,Crushed and Broken Limestone,http://www.osha.gov/pls/imis/sic_manual.display?id=393&tab=description
1423,Crushed and Broken Granite,http://www.osha.gov/pls/imis/sic_manual.display?id=394&tab=description
1429,Crushed and Broken Stone, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=395&tab=description
144,Sand And Gravel,
1442,Construction Sand and Gravel,http://www.osha.gov/pls/imis/sic_manual.display?id=396&tab=description
1446,Industrial Sand,http://www.osha.gov/pls/imis/sic_manual.display?id=397&tab=description
145,Clay, Ceramic, And Refractory Minerals,
1455,Kaolin and Ball Clay,http://www.osha.gov/pls/imis/sic_manual.display?id=398&tab=description
1459,Clay, Ceramic, and Refractory Minerals, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=399&tab=description
147,Chemical And Fertilizer Mineral Mining,
1474,Potash, Soda, and Borate Minerals,http://www.osha.gov/pls/imis/sic_manual.display?id=400&tab=description
1475,Phosphate Rock,http://www.osha.gov/pls/imis/sic_manual.display?id=401&tab=description
1479,Chemical and Fertilizer Mineral Mining, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=402&tab=description
148,Nonmetallic Minerals Services, Except Fuels,
1481,Nonmetallic Minerals Services, Except Fuels,http://www.osha.gov/pls/imis/sic_manual.display?id=403&tab=description
149,Miscellaneous Nonmetallic Minerals, Except,
1499,Miscellaneous Nonmetallic Minerals, Except Fuels,http://www.osha.gov/pls/imis/sic_manual.display?id=404&tab=description
C,Construction,http://www.osha.gov/pls/imis/sic_manual.display?id=3&tab=division
15,Building Construction General Contractors And Operative Builders,http://www.osha.gov/pls/imis/sic_manual.display?id=10&tab=group
152,General Building Contractors-residential,
1521,General Contractors-Single-Family Houses,http://www.osha.gov/pls/imis/sic_manual.display?id=405&tab=description
1522,General Contractors-Residential Buildings, Other Than Single-Family,http://www.osha.gov/pls/imis/sic_manual.display?id=406&tab=description
153,Operative Builders,
1531,Operative Builders,http://www.osha.gov/pls/imis/sic_manual.display?id=407&tab=description
154,General Building Contractors-nonresidential,
1541,General Contractors-Industrial Buildings and Warehouses,http://www.osha.gov/pls/imis/sic_manual.display?id=408&tab=description
1542,General Contractors-Nonresidential Buildings, Other than Industrial Buildings and Warehouses,http://www.osha.gov/pls/imis/sic_manual.display?id=409&tab=description
16,Heavy Construction Other Than Building Construction Contractors,http://www.osha.gov/pls/imis/sic_manual.display?id=11&tab=group
161,Highway And Street Construction, Except,
1611,Highway and Street Construction, Except Elevated Highways,http://www.osha.gov/pls/imis/sic_manual.display?id=410&tab=description
162,Heavy Construction, Except Highway And Street,
1622,Bridge, Tunnel, and Elevated Highway Construction,http://www.osha.gov/pls/imis/sic_manual.display?id=411&tab=description
1623,Water, Sewer, Pipeline, and Communications and Power Line Construction,http://www.osha.gov/pls/imis/sic_manual.display?id=412&tab=description
1629,Heavy Construction, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=413&tab=description
17,Construction Special Trade Contractors,http://www.osha.gov/pls/imis/sic_manual.display?id=12&tab=group
171,Plumbing, Heating And Air-conditioning,
1711,Plumbing, Heating and Air-Conditioning,http://www.osha.gov/pls/imis/sic_manual.display?id=414&tab=description
172,Painting And Paper Hanging,
1721,Painting and Paper Hanging,http://www.osha.gov/pls/imis/sic_manual.display?id=415&tab=description
173,Electrical Work,
1731,Electrical Work,http://www.osha.gov/pls/imis/sic_manual.display?id=416&tab=description
174,Masonry, Stonework, Tile Setting, And Plastering,
1741,Masonry, Stone Setting, and Other Stone Work,http://www.osha.gov/pls/imis/sic_manual.display?id=417&tab=description
1742,Plastering, Drywall, Acoustical, and Insulation Work,http://www.osha.gov/pls/imis/sic_manual.display?id=418&tab=description
1743,Terrazzo, Tile, Marble, and Mosaic Work,http://www.osha.gov/pls/imis/sic_manual.display?id=419&tab=description
175,Carpentry And Floor Work,
1751,Carpentry Work,http://www.osha.gov/pls/imis/sic_manual.display?id=420&tab=description
1752,Floor Laying and Other Floor Work, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=421&tab=description
176,Roofing, Siding, And Sheet Metal Work,
1761,Roofing, Siding, and Sheet Metal Work,http://www.osha.gov/pls/imis/sic_manual.display?id=422&tab=description
177,Concrete Work,
1771,Concrete Work,http://www.osha.gov/pls/imis/sic_manual.display?id=423&tab=description
178,Water Well Drilling,
1781,Water Well Drilling,http://www.osha.gov/pls/imis/sic_manual.display?id=424&tab=description
179,Miscellaneous Special Trade Contractors,
1791,Structural Steel Erection,http://www.osha.gov/pls/imis/sic_manual.display?id=425&tab=description
1793,Glass and Glazing Work,http://www.osha.gov/pls/imis/sic_manual.display?id=426&tab=description
1794,Excavation Work,http://www.osha.gov/pls/imis/sic_manual.display?id=427&tab=description
1795,Wrecking and Demolition Work,http://www.osha.gov/pls/imis/sic_manual.display?id=428&tab=description
1796,Installation or Erection of Building Equipment, Not Elsewhere,http://www.osha.gov/pls/imis/sic_manual.display?id=429&tab=description
1799,Special Trade Contractors, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=430&tab=description
D,Manufacturing,http://www.osha.gov/pls/imis/sic_manual.display?id=4&tab=division
20,Food And Kindred Products,http://www.osha.gov/pls/imis/sic_manual.display?id=13&tab=group
201,Meat Products,
2011,Meat Packing Plants,http://www.osha.gov/pls/imis/sic_manual.display?id=431&tab=description
2013,Sausages and Other Prepared Meat Products,http://www.osha.gov/pls/imis/sic_manual.display?id=432&tab=description
2015,Poultry Slaughtering and Processing,http://www.osha.gov/pls/imis/sic_manual.display?id=433&tab=description
202,Dairy Products,
2021,Creamery Butter,http://www.osha.gov/pls/imis/sic_manual.display?id=434&tab=description
2022,Natural, Processed, and Imitation Cheese,http://www.osha.gov/pls/imis/sic_manual.display?id=435&tab=description
2023,Dry, Condensed, and Evaporated Dairy Products,http://www.osha.gov/pls/imis/sic_manual.display?id=436&tab=description
2024,Ice Cream and Frozen Desserts,http://www.osha.gov/pls/imis/sic_manual.display?id=437&tab=description
2026,Fluid Milk,http://www.osha.gov/pls/imis/sic_manual.display?id=438&tab=description
203,Canned, Frozen, And Preserved Fruits, Vegetables, and Food Specialties,
2032,Canned Specialties,http://www.osha.gov/pls/imis/sic_manual.display?id=439&tab=description
2033,Canned Fruits, Vegetables, Preserves, Jams, and Jellies,http://www.osha.gov/pls/imis/sic_manual.display?id=440&tab=description
2034,Dried and Dehydrated Fruits, Vegetables, and Soup Mixes,http://www.osha.gov/pls/imis/sic_manual.display?id=441&tab=description
2035,Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings,http://www.osha.gov/pls/imis/sic_manual.display?id=442&tab=description
